what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1324737278031
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1324737278031
java.version,sysinfo,,,"1.6.0_24",1324737278031
java.vm.info,sysinfo,,,"mixed mode",1324737278031
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1324737278031
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1324737278031
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324737278031
java.vm.specification.version,sysinfo,,,"1.0",1324737278031
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1324737278031
java.vm.version,sysinfo,,,"19.1-b02",1324737278031
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1324737281192
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1324737281195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324738636241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324738636361
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324738640619
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1324738640895
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1324738640896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.exit",1324738640995
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1324738641332
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1324738641333
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1324738641333
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1324738641334
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1324738641335
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1324738641336
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1324738641336
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1324738641336
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1324738641337
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1324738641338
stopped,bundle,org.jboss.tools.ws.creation.ui,1.2.2.v20111104-1555-H35-M4,"org.jboss.tools.ws.creation.ui",1324738641338
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1324738641339
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1324738641340
stopped,bundle,org.jboss.tools.ws.ui,1.2.2.v20111104-1555-H35-M4,"org.jboss.tools.ws.ui",1324738641340
stopped,bundle,org.jboss.tools.ws.creation.core,1.2.2.v20111104-1555-H35-M4,"org.jboss.tools.ws.creation.core",1324738641340
stopped,bundle,org.jboss.tools.ws.core,1.2.2.v20111104-1555-H35-M4,"org.jboss.tools.ws.core",1324738641341
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.401.v201108240414,"org.eclipse.jst.ws.consumption.ui",1324738641342
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.601.v201108230319,"org.eclipse.jst.ws.consumption",1324738641343
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1324738641344
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1324738641344
